_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
10066928,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3,3,0,1,140,0,1,0,0,Not Specified,Not Specified,No,Yes,No,2,2,Montreal,Canada,-73.57383,45.52233,Yes,0,0,0,0
10021707,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1,40,0,1,100,0,Not Specified,Not Specified,No,Yes,Yes,1,1,New York,United States,-73.93615,40.69791,Yes,0,0,0,0
10009999,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,2,0,1,317,0,1,0,187,Not Specified,Not Specified,No,Yes,No,1,1,Rio De Janeiro,Brazil,-43.23074991429229,-22.96625355173965,Yes,0,0,0,0
10006546,House,Entire home/apt,Real Bed,2,30,moderate,8,3,5,51,1,80,15,6,89,35,within an hour,100.0,No,Yes,Yes,3,3,Porto,Portugal,-8.61308,41.1413,No,28,47,74,239
10059244,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,1,0,1,43,12,1,0,0,within an hour,100.0,No,Yes,No,1,1,Montreal,Canada,-73.54949,45.54548,No,0,0,0,32
1001265,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1,1,96,1,115,0,1,84,100,within an hour,98.0,No,Yes,No,18,18,Oahu,United States,-157.83919,21.28634,Yes,16,46,76,343
10069642,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2,2,0,2,858,75,1,0,112,Not Specified,Not Specified,No,Yes,No,1,1,Rio De Janeiro,Brazil,-43.4311123147628,-23.00035792660916,No,0,0,0,0
10108388,Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1,1,109,1,185,0,1,100,120,within an hour,100.0,Yes,Yes,Yes,1,1,Sydney,Australia,151.21346,-33.87603,No,5,16,35,265
10120414,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1,1,0,1,150,0,1,0,0,Not Specified,Not Specified,No,Yes,Yes,1,1,New York,United States,-73.98944,40.72063,No,0,0,0,0
10133554,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,2,29,1,121,0,1,92,0,within a few hours,100.0,No,Yes,Yes,2,2,Istanbul,Turkey,28.98009,41.0062,No,30,60,90,365
